# Tiempo	x1	y1	z1	x2	y2	z2	v1	v2	K_total	U_total	E_total
0.00000000	0.00000000	0.00000000	0.00000000	10.00000000	0.00000000	0.00000000	0.00000000	8.00000000	32.00000000	-100.00000000	-68.00000000
0.01000000	0.00000050	0.00000000	0.00000000	9.99950000	0.08000000	0.00000000	0.00010000	8.00022499	32.00180493	-100.00180492	-68.00000000
0.02000000	0.00000200	0.00000001	0.00000000	9.99800000	0.15999200	0.00000000	0.00020001	8.00089996	32.00722011	-100.00722010	-67.99999999
0.03000000	0.00000450	0.00000003	0.00000000	9.99549998	0.23996800	0.00000000	0.00030003	8.00202497	32.01624678	-100.01624675	-67.99999997
0.04000000	0.00000800	0.00000008	0.00000000	9.99199992	0.31991998	0.00000000	0.00040006	8.00360006	32.02888695	-100.02888689	-67.99999994
0.05000000	0.00001250	0.00000016	0.00000000	9.98749980	0.39983995	0.00000000	0.00050012	8.00562532	32.04514348	-100.04514338	-67.99999991
0.06000000	0.00001800	0.00000028	0.00000000	9.98199957	0.47971988	0.00000000	0.00060020	8.00810088	32.06502001	-100.06501987	-67.99999987
0.07000000	0.00002450	0.00000045	0.00000000	9.97549920	0.55955175	0.00000000	0.00070032	8.01102687	32.08852102	-100.08852084	-67.99999982
0.08000000	0.00003200	0.00000067	0.00000000	9.96799863	0.63932751	0.00000000	0.00080048	8.01440346	32.11565180	-100.11565156	-67.99999976
0.09000000	0.00004050	0.00000096	0.00000000	9.95949780	0.71903912	0.00000000	0.00090068	8.01823083	32.14641847	-100.14641817	-67.99999970
0.10000000	0.00005000	0.00000132	0.00000000	9.94999664	0.79867850	0.00000000	0.00100094	8.02250921	32.18082797	-100.18082760	-67.99999963
0.11000000	0.00006050	0.00000176	0.00000000	9.93949509	0.87823759	0.00000000	0.00110125	8.02723884	32.21888805	-100.21888760	-67.99999955
0.12000000	0.00007201	0.00000229	0.00000000	9.92799304	0.95770827	0.00000000	0.00120162	8.03241998	32.26060731	-100.26060678	-67.99999947
